iter	Passed	Remaining
414	3036	4279
415	3042	4271
416	3050	4264
417	3057	4256
418	3063	4248
419	3070	4240
420	3077	4232
421	3084	4224
422	3090	4216
423	3097	4208
424	3104	4200
425	3111	4191
426	3117	4183
427	3124	4175
428	3131	4167
429	3137	4158
430	3144	4150
431	3150	4142
432	3157	4134
433	3164	4126
434	3170	4118
435	3177	4109
436	3183	4101
437	3190	4093
438	3196	4085
439	3203	4076
440	3209	4068
441	3216	4060
442	3222	4052
443	3229	4043
444	3235	4035
445	3242	4027
446	3250	4020
447	3257	4014
448	3265	4007
449	3272	3999
450	3280	3992
451	3288	3986
452	3294	3978
453	3301	3971
454	3309	3964
455	3316	3956
456	3323	3948
457	3330	3941
458	3337	3933
459	3344	3925
460	3350	3917
461	3358	3910
462	3365	3903
463	3372	3895
464	3379	3888
465	3386	3881
466	3393	3873
467	3400	3865
468	3407	3858
469	3414	3850
470	3421	3842
471	3428	3835
472	3435	3827
473	3442	3819
474	3449	3812
475	3456	3805
476	3463	3797
477	3470	3789
478	3476	3781
479	3483	3774
480	3490	3766
481	3497	3758
482	3503	3750
483	3510	3742
484	3517	3734
485	3523	3726
486	3530	3719
487	3537	3711
488	3543	3703
489	3550	3695
490	3557	3688
491	3564	3680
492	3571	3673
493	3578	3665
494	3585	3657
495	3592	3650
496	3599	3642
497	3606	3635
498	3613	3627
499	3620	3620
500	3626	3612
501	3633	3604
502	3639	3596
503	3647	3589
504	3653	3581
505	3660	3574
506	3667	3565
507	3673	3558
508	3680	3549
509	3686	3541
510	3693	3534
511	3699	3526
512	3706	3518
513	3713	3510
514	3719	3502
515	3726	3495
516	3732	3487
517	3739	3479
518	3746	3472
519	3752	3464
520	3759	3456
521	3765	3448
522	3772	3440
523	3779	3432
524	3785	3424
525	3791	3416
526	3798	3408
527	3804	3401
528	3811	3393
529	3818	3385
530	3824	3377
531	3831	3370
532	3837	3362
533	3845	3355
534	3852	3348
535	3859	3341
536	3867	3334
537	3874	3326
538	3881	3319
539	3888	3312
540	3895	3305
541	3903	3298
542	3910	3291
543	3917	3283
544	3924	3276
545	3931	3268
546	3938	3261
547	3945	3254
548	3952	3247
549	3959	3239
550	3966	3232
551	3973	3224
552	3980	3217
553	3987	3210
554	3994	3202
555	4001	3195
556	4008	3188
557	4015	3180
558	4022	3173
559	4029	3166
560	4036	3158
561	4044	3152
562	4051	3144
563	4058	3137
564	4065	3130
565	4072	3122
566	4078	3114
567	4085	3107
568	4092	3099
569	4098	3092
570	4105	3084
571	4112	3076
572	4118	3069
573	4125	3061
574	4132	3054
575	4139	3046
576	4145	3039
