iter	Logloss
0	0.6650338107
1	0.6387049665
2	0.6137322108
3	0.5927619229
4	0.5721979859
5	0.5551309385
6	0.5393560455
7	0.5232864707
8	0.5106513807
9	0.4994903446
10	0.4901153498
11	0.4820529542
12	0.4744033407
13	0.4672516778
14	0.4606794229
15	0.4553351779
16	0.4491271929
17	0.4437996232
18	0.4387017391
19	0.4344594869
20	0.43063656
21	0.4266527442
22	0.4215451876
23	0.4185199156
24	0.4152607379
25	0.4131203774
26	0.4087958176
27	0.4058949145
28	0.403852269
29	0.4013327322
30	0.3989916754
31	0.3965088654
32	0.3948954688
33	0.3932514628
34	0.3912968837
35	0.3899370288
36	0.3871969075
37	0.3859620192
38	0.3845519401
39	0.3828188011
40	0.3813796696
41	0.3798949742
42	0.3787403739
43	0.3775573673
44	0.3763872844
45	0.3754425892
46	0.3740335461
47	0.3727037828
48	0.3716211368
49	0.3707754234
50	0.3696864347
51	0.3688610144
52	0.3674911182
53	0.36643261
54	0.3654672812
55	0.3646956
56	0.3640430774
57	0.3631470479
58	0.3626716339
59	0.3620954619
60	0.3614144751
61	0.3601246988
62	0.3593069213
63	0.3585527743
64	0.3578427501
65	0.3570386029
66	0.3558624252
67	0.3551575187
68	0.354289573
69	0.3537651839
70	0.3531608401
71	0.352631177
72	0.3518621559
73	0.3515537481
74	0.3509253817
75	0.3503728763
76	0.3496881352
77	0.3489749593
78	0.3481203107
79	0.3475128661
80	0.347197743
81	0.3467924319
82	0.3463173161
83	0.3454323248
84	0.3451488756
85	0.3448474237
86	0.3444961622
87	0.3440441041
88	0.3436870623
89	0.3432782377
90	0.3429831893
91	0.3426730015
92	0.3418492818
93	0.3414650174
94	0.3411195853
95	0.3408435437
96	0.340292362
97	0.3399423536
98	0.3394230742
99	0.3391998181
100	0.3386030197
101	0.3382010871
102	0.3379396998
103	0.3374718174
104	0.3369206625
105	0.3363458477
106	0.3358114671
107	0.3353778563
108	0.3348761738
109	0.3342115024
110	0.3340098779
111	0.3334974689
112	0.3333392762
113	0.3327885024
114	0.3323392733
115	0.331972235
116	0.331729263
117	0.3314862009
118	0.3312341568
119	0.330916544
120	0.3305946304
121	0.3304144143
122	0.3299765862
123	0.3295113025
124	0.3292603455
125	0.3289514817
126	0.3287338304
127	0.3284364339
128	0.3278649961
129	0.3273798074
130	0.3270692673
131	0.3266341466
132	0.3264055508
133	0.3260913884
134	0.3255663678
135	0.3252532033
136	0.3248813551
137	0.3243113906
138	0.3239982284
139	0.32378425
140	0.3234360333
141	0.3232414414
142	0.3229571863
143	0.3225405701
144	0.3222999365
145	0.321538862
146	0.3213504984
147	0.3211998112
148	0.3209847075
149	0.3207831293
150	0.3205478814
151	0.3201552499
152	0.3198882059
153	0.3194003299
154	0.3189560856
155	0.3186065611
156	0.3183392881
157	0.3180566606
158	0.317551308
159	0.3172357976
160	0.3170492874
161	0.3167725791
162	0.3165813242
163	0.3160094129
164	0.3152124982
165	0.3149534054
166	0.3147851508
167	0.3144604945
168	0.3140010892
169	0.3138109842
170	0.313354953
171	0.3131386765
172	0.3129790458
173	0.3128284072
174	0.3126204465
175	0.3121237782
176	0.3119674104
177	0.3117325936
178	0.3114369294
179	0.3112658746
180	0.3112002608
181	0.3109192705
182	0.310347604
183	0.3100578374
184	0.3098948567
185	0.3095220371
186	0.3092044543
187	0.3088030244
188	0.3086444279
189	0.3084103468
190	0.3082005783
191	0.3079035767
192	0.3074202027
193	0.3068561316
194	0.3065720009
195	0.3064507254
196	0.3058670908
197	0.3054406274
198	0.305338567
199	0.3051597419
200	0.3050384285
201	0.3048604773
202	0.3046234669
203	0.3044383435
204	0.3042748991
205	0.3039035372
206	0.3036728013
207	0.3034514542
208	0.3032761258
209	0.3031298437
210	0.3030085157
211	0.3027165819
212	0.3025379702
213	0.3022093443
214	0.3019638995
215	0.3017402651
216	0.3015923956
217	0.3011384701
218	0.3010201939
219	0.3007793773
220	0.3005472581
221	0.3003619947
222	0.3002537421
223	0.3000900388
224	0.2999095024
225	0.2997504319
226	0.2996028238
227	0.29932304
228	0.2991372888
229	0.2988048903
230	0.298612105
231	0.2984120353
232	0.2981449727
233	0.2980017414
234	0.2978216925
235	0.2975249067
236	0.2972780504
237	0.2971825468
238	0.2969009052
239	0.2966974143
240	0.2964969456
241	0.2962978022
242	0.2960731887
243	0.2958917317
244	0.2957202873
245	0.2955330403
246	0.2953621885
247	0.2951333071
248	0.2949412858
249	0.2947339342
250	0.2943930006
251	0.2941609405
252	0.2938694964
253	0.2935814002
254	0.2934659994
255	0.293226482
256	0.2931257795
257	0.2928011564
258	0.2926867042
259	0.292519811
260	0.2923058614
261	0.2921613106
262	0.2920526572
263	0.2918502675
264	0.2916725749
265	0.2915151144
266	0.2912786588
267	0.2911319483
268	0.2908801599
269	0.2904725166
270	0.2902954762
271	0.2901988567
272	0.2898951415
273	0.2896069844
274	0.2894439915
275	0.2892156068
276	0.2891033109
277	0.288948793
278	0.2886791921
279	0.2884438526
280	0.2883196225
281	0.2877941918
282	0.2872513494
283	0.2870668321
284	0.2869347941
285	0.2867650377
286	0.2865957274
287	0.286476555
288	0.2863359169
289	0.2859638284
290	0.2855603055
291	0.2854364322
292	0.2852448265
293	0.2851102984
294	0.2848917917
295	0.2843050161
296	0.2840390304
297	0.2839313641
298	0.2837683487
299	0.2836064743
300	0.2834760466
301	0.283328867
302	0.2831709599
303	0.2829939575
304	0.2828906734
305	0.2827327011
306	0.2826162321
307	0.2824478053
308	0.2823410487
309	0.2821341858
310	0.2818491234
311	0.2817324634
312	0.2814813795
313	0.2813211965
314	0.2811281684
315	0.2809819948
316	0.2805657371
317	0.2804792508
318	0.2803038346
319	0.280033177
320	0.2798758732
321	0.2797782741
322	0.2796175428
323	0.2792981129
324	0.2791910059
325	0.2791118844
326	0.2788877939
327	0.2787593969
328	0.2785928499
329	0.2784666572
330	0.2781373877
331	0.2780502669
332	0.2779359495
333	0.2777884253
334	0.2776616021
335	0.2774512822
336	0.2772987862
337	0.2771625809
338	0.2768927289
339	0.2766963524
340	0.2765942647
341	0.2764269898
342	0.2762664191
343	0.2761412244
344	0.2758420912
345	0.2756151076
346	0.2754166951
347	0.2752335332
348	0.2750852515
349	0.2749751327
350	0.2748769306
351	0.2746410533
352	0.2743452896
353	0.2741784043
354	0.2740980514
355	0.2739846387
356	0.2738265833
357	0.2736269646
358	0.2735147875
359	0.2731713118
360	0.2730389457
361	0.2729350822
362	0.2728468699
363	0.2726797014
364	0.2725165631
365	0.2723407473
366	0.272190007
367	0.2720149722
368	0.2718799989
369	0.2717273801
370	0.2715007125
371	0.2713915847
372	0.2713200914
373	0.2711516958
374	0.2709097122
375	0.270704784
